Age,Shocks,Fitness,Cash,FitnessSpending,JoySpending,InsuranceSpending,NextAge,NextShocks,NextFitness,NextCash,Probability,Enjoyment,FutureValue,Value,RandDraw,Shocked,TotalJoy,BuyIns,InsurancePaid,ShockProb,AtMaxShocks,Life
 1,0,20,   0, 17, 42, 10, 2,0,22,   1,0.904,  0.51, 13.70, 14.22,0.720,0,  0.51,1,0,0.096,0,  0
 2,0,22,   1, 18, 43, 10, 3,0,24,   0,0.906,  0.52, 13.36, 13.88,0.633,0,  1.03,1,0,0.094,0,  0
 3,0,24,   0, 13, 43, 10, 4,0,24,   4,0.904,  0.52, 13.01, 13.53,0.229,0,  1.55,1,0,0.096,0,  0
 4,0,24,   4, 13, 44, 10, 5,0,24,   7,0.902,  0.52, 12.66, 13.18,0.253,0,  2.07,1,0,0.098,0,  0
 5,0,24,   7, 13, 45, 10, 6,0,24,   9,0.899,  0.53, 12.29, 12.82,0.606,0,  2.60,1,0,0.101,0,  0
 6,0,24,   9, 13, 46, 10, 7,0,24,  10,0.897,  0.53, 11.91, 12.45,0.587,0,  3.13,1,0,0.103,0,  0
 7,0,24,  10, 13, 47, 10, 8,0,24,  10,0.894,  0.54, 11.52, 12.06,0.911,0,  3.67,1,0,0.106,0,  0
 8,0,24,  10, 13, 47, 10, 9,1,24,  10,0.108,  0.54,  9.77, 10.31,0.077,1,  4.21,1,1,0.108,0,  0
 9,1,24,  10, 28, 42, 10,10,1,29,   0,0.888,  0.50,  9.46,  9.97,0.335,0,  4.71,1,0,0.112,0,  0
10,1,29,   0, 16, 43, 10,11,1,29,   1,0.886,  0.51,  9.15,  9.66,0.149,0,  5.22,1,0,0.114,0,  0
11,1,29,   1, 16, 44, 10,12,1,29,   1,0.883,  0.51,  8.82,  9.33,0.841,0,  5.73,1,0,0.117,0,  0
12,1,29,   1, 16, 45, 10,13,2,29,   0,0.120,  0.52,  6.99,  7.51,0.023,1,  6.25,1,1,0.120,0,  0
13,2,29,   0, 22, 37, 10,14,2,31,   1,0.868,  0.45,  6.78,  7.22,0.960,0,  6.70,1,0,0.132,0,  0
14,2,31,   1, 23, 38, 10,15,2,33,   0,0.869,  0.45,  6.54,  6.99,0.495,0,  7.15,1,0,0.131,0,  0
15,2,33,   0, 18, 42, 10,16,2,33,   0,0.867,  0.48,  6.27,  6.75,0.769,0,  7.63,1,0,0.133,0,  0
16,2,33,   0, 18, 42, 10,17,2,33,   0,0.864,  0.48,  5.99,  6.47,0.839,0,  8.11,1,0,0.136,0,  0
