Age,Shocks,Fitness,Cash,FitnessSpending,JoySpending,InsuranceSpending,NextAge,NextShocks,NextFitness,NextCash,Probability,Enjoyment,FutureValue,Value,RandDraw,Shocked,TotalJoy,BuyIns,InsurancePaid,ShockProb,AtMaxShocks,Life
 1,0,20,   0, 11, 59, 30, 2,0,20,   0,0.901,  0.60,  5.04,  5.13,0.720,0,  0.60,1,0,0.099,0,  0
 2,0,20,   0, 11, 59, 30, 3,0,20,   0,0.898,  0.60,  4.98,  5.08,0.633,0,  1.20,1,0,0.102,0,  0
 3,0,20,   0, 14, 55, 31, 4,0,21,   0,0.898,  0.58,  4.94,  5.02,0.229,0,  1.78,1,0,0.102,0,  0
 4,0,21,   0, 15, 54, 31, 5,0,22,   0,0.898,  0.57,  4.89,  4.98,0.253,0,  2.35,1,0,0.102,0,  0
 5,0,22,   0, 12, 57, 31, 6,0,22,   0,0.895,  0.59,  4.83,  4.93,0.606,0,  2.94,1,0,0.105,0,  0
 6,0,22,   0, 12, 55, 32, 7,0,22,   1,0.893,  0.58,  4.77,  4.87,0.587,0,  3.52,1,0,0.107,0,  0
 7,0,22,   1, 18, 50, 33, 8,0,24,   0,0.894,  0.56,  4.73,  4.81,0.911,0,  4.08,1,0,0.106,0,  0
 8,0,24,   0, 13, 55, 32, 9,1,24,   0,0.108,  0.58,  4.25,  4.40,0.077,1,  4.66,1,1,0.108,0,  0
 9,1,24,   0, 13, 50, 37,10,1,24,   0,0.878,  0.55,  4.18,  4.31,0.335,0,  5.21,1,0,0.122,0,  0
10,1,24,   0, 13, 50, 37,11,1,24,   0,0.875,  0.55,  4.11,  4.25,0.149,0,  5.76,1,0,0.125,0,  0
11,1,24,   0, 13, 49, 38,12,1,24,   0,0.872,  0.54,  4.04,  4.17,0.841,0,  6.30,1,0,0.128,0,  0
12,1,24,   0, 13, 48, 39,13,2,24,   0,0.131,  0.54,  3.43,  3.62,0.023,1,  6.84,1,1,0.131,0,  0
13,2,24,   0, 55, 45,  0,14,2,38,   0,0.881,  0.49,  3.55,  3.68,0.960,0,  7.33,0,0,0.119,0,  0
14,2,38,   0, 12, 52, 36,15,2,35,   0,0.873,  0.53,  3.44,  3.62,0.495,0,  7.86,1,0,0.127,0,  0
15,2,35,   0,  7, 54, 39,16,2,31,   0,0.862,  0.53,  3.31,  3.52,0.769,0,  8.39,1,0,0.138,0,  0
16,2,31,   0,  5, 53, 42,17,2,27,   0,0.849,  0.53,  3.18,  3.39,0.839,0,  8.92,1,0,0.151,0,  0
17,2,27,   0,  0, 50, 46,18,2,22,   4,0.831,  0.52,  3.05,  3.26,0.721,0,  9.44,1,0,0.169,0,  0
18,2,22,   4, 60, 44,  0,19,2,38,   0,0.868,  0.49,  3.14,  3.31,0.225,0,  9.93,0,0,0.132,0,  0
19,2,38,   0,  6, 54, 40,20,2,33,   0,0.855,  0.53,  2.97,  3.21,0.541,0, 10.46,1,0,0.145,0,  0
20,2,33,   0,  0, 55, 45,21,2,27,   0,0.836,  0.54,  2.78,  3.04,0.457,0, 11.00,1,0,0.164,0,  0
21,2,27,   0,  0, 50, 50,22,2,22,   0,0.816,  0.52,  2.59,  2.85,0.549,0, 11.52,1,0,0.184,0,  0
22,2,22,   0, 51, 48,  0,23,2,35,   1,0.849,  0.51,  2.61,  2.86,0.256,0, 12.03,0,0,0.151,0,  0
23,2,35,   1,  1, 54, 46,24,2,29,   0,0.830,  0.53,  2.37,  2.67,0.372,0, 12.56,1,0,0.170,0,  0
24,2,29,   0,  1, 47, 52,25,2,24,   0,0.810,  0.50,  2.13,  2.42,0.428,0, 13.06,1,0,0.190,0,  0
