Age,Shocks,Fitness,Cash,FitnessSpending,JoySpending,InsuranceSpending,NextAge,NextShocks,NextFitness,NextCash,Probability,Enjoyment,FutureValue,Value,RandDraw,Shocked,TotalJoy,BuyIns,InsurancePaid,ShockProb,AtMaxShocks,Life
 1,0,20,   0,  2, 68, 30, 2,0,17,   0,0.894,  0.63,  2.68,  2.78,0.720,0,  0.63,1,0,0.106,0,  0
 2,0,17,   0,  1, 67, 32, 3,0,14,   0,0.885,  0.63,  2.63,  2.73,0.633,0,  1.26,1,0,0.115,0,  0
 3,0,14,   0,  0, 65, 35, 4,0,11,   0,0.873,  0.62,  2.59,  2.69,0.229,0,  1.88,1,0,0.127,0,  0
 4,0,11,   0,  0, 61, 39, 5,0, 9,   0,0.864,  0.60,  2.55,  2.64,0.253,0,  2.48,1,0,0.136,0,  0
 5,0, 9,   0, 38, 62,  0, 6,0,20,   0,0.891,  0.61,  2.64,  2.72,0.606,0,  3.09,0,0,0.109,0,  0
 6,0,20,   0,  2, 65, 33, 7,0,17,   0,0.882,  0.62,  2.58,  2.69,0.587,0,  3.71,1,0,0.118,0,  0
 7,0,17,   0,  1, 63, 36, 8,0,14,   0,0.870,  0.61,  2.53,  2.64,0.911,0,  4.32,1,0,0.130,0,  0
 8,0,14,   0, 32, 68,  0, 9,1,22,-300,0.112,  0.63,  0.67,  1.17,0.077,1,  4.95,0,0,0.112,0,  0
 9,1,22,-300,  0,  0,  0,10,1,18,-200,0.863,  0.00,  0.93,  0.75,0.335,0,  4.95,0,0,0.137,0,  0
10,1,18,-200,  0,  0,  0,11,2,14,-400,0.153,  0.00,  0.27,  0.21,0.149,1,  4.95,0,0,0.153,0,  0
11,2,14,-400,  0,  0,  0,12,2,11,-300,0.811,  0.00,  0.38,  0.30,0.841,0,  4.95,0,0,0.189,0,  0
12,2,11,-300,  0,  0,  0,13,3, 9,-450,0.203,  0.00,  0.11,  0.09,0.023,1,  4.95,0,0,0.203,0,  0
13,3, 9,-450,  0,  0,  0,14,3, 7,-350,0.750,  0.00,  0.17,  0.14,0.960,0,  4.95,0,0,0.250,0,  0
14,3, 7,-350,  0,  0,  0,15,3, 5,-250,0.731,  0.00,  0.28,  0.22,0.495,0,  4.95,0,0,0.269,0,  0
15,3, 5,-250,  0,  0,  0,16,3, 4,-150,0.718,  0.00,  0.47,  0.37,0.769,0,  4.95,0,0,0.282,0,  0
16,3, 4,-150,  0,  0,  0,17,3, 3, -50,0.704,  0.00,  0.81,  0.65,0.839,0,  4.95,0,0,0.296,0,  0
17,3, 3, -50,  8, 42,  0,18,3, 5,   0,0.716,  0.26,  0.93,  1.00,0.721,0,  5.21,0,0,0.284,0,  0
18,3, 5,   0, 42, 58,  0,19,3,18,   0,0.789,  0.30,  0.98,  1.08,0.225,0,  5.51,0,0,0.211,0,  0
19,3,18,   0, 37, 63,  0,20,3,27,   0,0.819,  0.31,  1.01,  1.11,0.541,0,  5.82,0,0,0.181,0,  0
20,3,27,   0, 27, 73,  0,21,3,31,   0,0.827,  0.32,  1.01,  1.13,0.457,0,  6.14,0,0,0.173,0,  0
21,3,31,   0, 23, 77,  0,22,3,33,   0,0.829,  0.33,  0.99,  1.12,0.549,0,  6.47,0,0,0.171,0,  0
22,3,33,   0, 18, 82,  0,23,3,33,   0,0.826,  0.34,  0.97,  1.11,0.256,0,  6.81,0,0,0.174,0,  0
23,3,33,   0, 18, 82,  0,24,3,33,   0,0.822,  0.34,  0.94,  1.09,0.372,0,  7.15,0,0,0.178,0,  0
24,3,33,   0, 18, 82,  0,25,3,33,   0,0.819,  0.34,  0.91,  1.06,0.428,0,  7.49,0,0,0.181,0,  0
25,3,33,   0, 18, 82,  0,26,3,33,   0,0.815,  0.34,  0.86,  1.03,0.275,0,  7.83,0,0,0.185,0,  0
26,3,33,   0, 18, 82,  0,27,3,33,   0,0.811,  0.34,  0.80,  0.98,0.831,0,  8.17,0,0,0.189,0,  0
27,3,33,   0,  6, 94,  0,28,3,29,   0,0.794,  0.35,  0.71,  0.92,0.984,0,  8.52,0,0,0.206,0,  0
28,3,29,   0,  1, 99,  0,29,3,24,   0,0.770,  0.36,  0.57,  0.81,0.382,0,  8.88,0,0,0.230,0,  0
29,3,24,   0,  1, 99,  0,30,3,20,   0,0.746,  0.36,  0.36,  0.64,0.718,0,  9.24,0,0,0.254,0,  0
30,3,20,   0,  0,100,  0,31,4,16,-300,0.282,  0.36,  0.00,  0.36,0.126,1,  9.60,0,0,0.282,0,  0
 1,0,20,   0,  2, 68, 30, 2,0,17,   0,0.894,  0.63,  2.68,  2.78,0.217,0,  0.63,1,0,0.106,0,  1
 2,0,17,   0,  1, 67, 32, 3,0,14,   0,0.885,  0.63,  2.63,  2.73,0.541,0,  1.26,1,0,0.115,0,  1
 3,0,14,   0,  0, 65, 35, 4,0,11,   0,0.873,  0.62,  2.59,  2.69,0.490,0,  1.88,1,0,0.127,0,  1
 4,0,11,   0,  0, 61, 39, 5,0, 9,   0,0.864,  0.60,  2.55,  2.64,0.879,0,  2.48,1,0,0.136,0,  1
 5,0, 9,   0, 38, 62,  0, 6,0,20,   0,0.891,  0.61,  2.64,  2.72,0.583,0,  3.09,0,0,0.109,0,  1
 6,0,20,   0,  2, 65, 33, 7,0,17,   0,0.882,  0.62,  2.58,  2.69,0.749,0,  3.71,1,0,0.118,0,  1
 7,0,17,   0,  1, 63, 36, 8,0,14,   0,0.870,  0.61,  2.53,  2.64,0.372,0,  4.32,1,0,0.130,0,  1
 8,0,14,   0, 32, 68,  0, 9,0,22,   0,0.888,  0.63,  2.59,  2.70,0.222,0,  4.95,0,0,0.112,0,  1
 9,0,22,   0,  0, 66, 34,10,1,18,   0,0.125,  0.62,  2.01,  2.23,0.104,1,  5.57,1,1,0.125,0,  1
10,1,18,   0, 37, 63,  0,11,1,27,   0,0.882,  0.51,  2.07,  2.16,0.145,0,  6.08,0,0,0.118,0,  1
11,1,27,   0,  0, 64, 36,12,1,22,   0,0.867,  0.51,  2.01,  2.12,0.403,0,  6.59,1,0,0.133,0,  1
12,1,22,   0,  0, 59, 41,13,1,18,   0,0.853,  0.50,  1.96,  2.06,0.797,0,  7.09,1,0,0.147,0,  1
13,1,18,   0, 28, 68,  0,14,1,24,   4,0.866,  0.52,  2.00,  2.12,0.207,0,  7.61,0,0,0.134,0,  1
14,1,24,   4,  1, 62, 41,15,1,20,   0,0.852,  0.51,  1.93,  2.05,0.280,0,  8.12,1,0,0.148,0,  1
15,1,20,   0, 32, 66,  0,16,1,27,   2,0.868,  0.52,  1.97,  2.10,0.215,0,  8.64,0,0,0.132,0,  1
16,1,27,   2,  0, 61, 41,17,1,22,   0,0.851,  0.50,  1.90,  2.03,0.395,0,  9.14,1,0,0.149,0,  1
17,1,22,   0, 27, 68,  0,18,1,27,   5,0.861,  0.52,  1.93,  2.07,0.864,0,  9.66,0,0,0.139,0,  1
18,1,27,   5,  0, 62, 43,19,1,22,   0,0.844,  0.51,  1.85,  1.99,0.463,0, 10.17,1,0,0.156,0,  1
19,1,22,   0, 27, 67,  0,20,1,27,   6,0.854,  0.52,  1.88,  2.02,0.689,0, 10.69,0,0,0.146,0,  1
20,1,27,   6,  0, 61, 45,21,1,22,   0,0.836,  0.50,  1.78,  1.93,0.649,0, 11.19,1,0,0.164,0,  1
21,1,22,   0, 27, 67,  0,22,1,27,   6,0.847,  0.52,  1.80,  1.96,0.635,0, 11.71,0,0,0.153,0,  1
22,1,27,   6,  0, 59, 47,23,1,22,   0,0.828,  0.50,  1.69,  1.85,0.410,0, 12.21,1,0,0.172,0,  1
23,1,22,   0, 27, 66,  0,24,1,27,   7,0.839,  0.52,  1.69,  1.87,0.375,0, 12.73,0,0,0.161,0,  1
24,1,27,   7,  0, 58, 49,25,1,22,   0,0.820,  0.49,  1.56,  1.74,0.702,0, 13.22,1,0,0.180,0,  1
25,1,22,   0, 27, 72,  0,26,1,27,   1,0.831,  0.54,  1.50,  1.73,0.707,0, 13.76,0,0,0.169,0,  1
26,1,27,   1, 15, 72,  0,27,1,27,  14,0.827,  0.54,  1.42,  1.67,0.301,0, 14.30,0,0,0.173,0,  1
27,1,27,  14,  0, 61, 53,28,1,22,   0,0.805,  0.50,  1.19,  1.46,0.982,0, 14.80,1,0,0.195,0,  1
28,1,22,   0,  0,100,  0,29,2,18,-300,0.217,  0.60,  0.00,  0.60,0.200,1, 15.40,0,0,0.217,0,  1
29,2,18,-300,  0,  0,  0,30,2,14,-200,0.738,  0.00,  0.00,  0.00,0.429,0, 15.40,0,0,0.262,0,  1
30,2,14,-200,  0,  0,  0,31,2,11,-100,0.712,  0.00,  0.00,  0.00,0.544,0, 15.40,0,0,0.288,0,  1
 1,0,20,   0,  2, 68, 30, 2,0,17,   0,0.894,  0.63,  2.68,  2.78,0.325,0,  0.63,1,0,0.106,0,  2
 2,0,17,   0,  1, 67, 32, 3,1,14,   0,0.115,  0.63,  2.09,  2.30,0.102,1,  1.26,1,1,0.115,0,  2
 3,1,14,   0, 32, 68,  0, 4,1,22,   0,0.888,  0.52,  2.14,  2.24,0.188,0,  1.78,0,0,0.112,0,  2
 4,1,22,   0,  0, 66, 34, 5,1,18,   0,0.876,  0.52,  2.09,  2.19,0.646,0,  2.30,1,0,0.124,0,  2
 5,1,18,   0,  1, 61, 38, 6,1,15,   0,0.865,  0.50,  2.05,  2.15,0.781,0,  2.80,1,0,0.135,0,  2
 6,1,15,   0, 30, 69,  0, 7,1,22,   1,0.881,  0.53,  2.10,  2.21,0.814,0,  3.33,0,0,0.119,0,  2
 7,1,22,   1,  0, 65, 36, 8,1,18,   0,0.868,  0.52,  2.05,  2.15,0.873,0,  3.85,1,0,0.132,0,  2
 8,1,18,   0,  1, 59, 40, 9,2,15,   0,0.143,  0.50,  1.52,  1.71,0.105,1,  4.35,1,1,0.143,0,  2
 9,2,15,   0, 30, 70,  0,10,2,22,   0,0.857,  0.42,  1.54,  1.66,0.353,0,  4.77,0,0,0.143,0,  2
10,2,22,   0, 27, 69,  0,11,2,27,   4,0.867,  0.42,  1.57,  1.68,0.820,0,  5.19,0,0,0.133,0,  2
11,2,27,   4,  0, 63, 41,12,2,22,   0,0.851,  0.41,  1.52,  1.62,0.516,0,  5.60,1,0,0.149,0,  2
12,2,22,   0, 27, 69,  0,13,2,27,   4,0.861,  0.42,  1.54,  1.66,0.396,0,  6.02,0,0,0.139,0,  2
13,2,27,   4,  0, 62, 42,14,2,22,   0,0.845,  0.41,  1.49,  1.60,0.202,0,  6.43,1,0,0.155,0,  2
14,2,22,   0, 27, 68,  0,15,2,27,   5,0.855,  0.42,  1.52,  1.63,0.276,0,  6.85,0,0,0.145,0,  2
15,2,27,   5,  0, 61, 44,16,2,22,   0,0.838,  0.40,  1.46,  1.57,0.224,0,  7.25,1,0,0.162,0,  2
16,2,22,   0, 27, 71,  0,17,2,27,   2,0.849,  0.43,  1.48,  1.61,0.686,0,  7.68,0,0,0.151,0,  2
17,2,27,   2, 30, 68,  0,18,2,32,   4,0.859,  0.42,  1.49,  1.61,0.714,0,  8.10,0,0,0.141,0,  2
18,2,32,   4,  0, 61, 43,19,2,26,   0,0.840,  0.40,  1.43,  1.55,0.709,0,  8.50,1,0,0.160,0,  2
19,2,26,   0, 30, 70,  0,20,2,31,   0,0.850,  0.42,  1.44,  1.57,0.957,0,  8.92,0,0,0.150,0,  2
20,2,31,   0, 23, 70,  0,21,2,33,   7,0.851,  0.42,  1.44,  1.58,0.335,0,  9.34,0,0,0.149,0,  2
21,2,33,   7,  0, 61, 46,22,2,27,   0,0.832,  0.40,  1.36,  1.49,0.875,0,  9.74,1,0,0.168,0,  2
22,2,27,   0, 27, 73,  0,23,2,31,   0,0.840,  0.43,  1.35,  1.51,0.392,0, 10.17,0,0,0.160,0,  2
23,2,31,   0, 23, 75,  0,24,2,33,   2,0.841,  0.43,  1.32,  1.49,0.163,0, 10.60,0,0,0.159,0,  2
24,2,33,   2, 18, 72,  0,25,3,33,-288,0.163,  0.43,  0.21,  0.60,0.099,1, 11.03,0,0,0.163,0,  2
25,3,33,-288,  0,  0,  0,26,3,27,-188,0.795,  0.00,  0.32,  0.26,0.235,0, 11.03,0,0,0.205,0,  2
26,3,27,-188,  0,  0,  0,27,4,22,-388,0.229,  0.00,  0.01,  0.01,0.200,1, 11.03,0,0,0.229,0,  2
27,4,22,-388,  0,  0,  0,28,5,18,-450,0.288,  0.00,  0.00,  0.00,0.156,1, 11.03,0,0,0.288,0,  2
28,5,18,-450,  0,  0,  0,29,5,14,-350,0.629,  0.00,  0.00,  0.00,0.913,0, 11.03,0,0,0.371,0,  2
29,5,14,-350,  0,  0,  0,30,5,11,-250,0.595,  0.00,  0.00,  0.00,0.989,0, 11.03,0,0,0.405,0,  2
30,5,11,-250,  0,  0,  0,31,6, 9,-450,0.433,  0.00,  0.00,  0.00,0.153,1, 11.03,0,0,0.433,0,  2
 1,0,20,   0,  2, 68, 30, 2,0,17,   0,0.894,  0.63,  2.68,  2.78,0.884,0,  0.63,1,0,0.106,0,  3
 2,0,17,   0,  1, 67, 32, 3,0,14,   0,0.885,  0.63,  2.63,  2.73,0.282,0,  1.26,1,0,0.115,0,  3
 3,0,14,   0,  0, 65, 35, 4,0,11,   0,0.873,  0.62,  2.59,  2.69,0.164,0,  1.88,1,0,0.127,0,  3
 4,0,11,   0,  0, 61, 39, 5,0, 9,   0,0.864,  0.60,  2.55,  2.64,0.248,0,  2.48,1,0,0.136,0,  3
 5,0, 9,   0, 38, 62,  0, 6,0,20,   0,0.891,  0.61,  2.64,  2.72,0.846,0,  3.09,0,0,0.109,0,  3
 6,0,20,   0,  2, 65, 33, 7,0,17,   0,0.882,  0.62,  2.58,  2.69,0.453,0,  3.71,1,0,0.118,0,  3
 7,0,17,   0,  1, 63, 36, 8,0,14,   0,0.870,  0.61,  2.53,  2.64,0.240,0,  4.32,1,0,0.130,0,  3
 8,0,14,   0, 32, 68,  0, 9,0,22,   0,0.888,  0.63,  2.59,  2.70,0.477,0,  4.95,0,0,0.112,0,  3
 9,0,22,   0,  0, 66, 34,10,0,18,   0,0.875,  0.62,  2.53,  2.64,0.424,0,  5.57,1,0,0.125,0,  3
10,0,18,   0,  1, 61, 38,11,0,15,   0,0.864,  0.60,  2.47,  2.58,0.450,0,  6.17,1,0,0.136,0,  3
11,0,15,   0,  0, 58, 42,12,0,12,   0,0.851,  0.59,  2.42,  2.53,0.292,0,  6.76,1,0,0.149,0,  3
12,0,12,   0, 37, 63,  0,13,0,22,   0,0.876,  0.61,  2.50,  2.61,0.220,0,  7.37,0,0,0.124,0,  3
13,0,22,   0,  0, 62, 38,14,0,18,   0,0.863,  0.61,  2.43,  2.55,0.389,0,  7.98,1,0,0.137,0,  3
14,0,18,   0, 37, 63,  0,15,0,27,   0,0.881,  0.61,  2.49,  2.61,0.747,0,  8.59,0,0,0.119,0,  3
15,0,27,   0,  0, 64, 36,16,0,22,   0,0.867,  0.62,  2.41,  2.55,0.598,0,  9.21,1,0,0.133,0,  3
16,0,22,   0,  0, 59, 41,17,0,18,   0,0.852,  0.60,  2.34,  2.47,0.615,0,  9.81,1,0,0.148,0,  3
17,0,18,   0, 37, 63,  0,18,0,27,   0,0.872,  0.61,  2.40,  2.53,0.442,0, 10.42,0,0,0.128,0,  3
18,0,27,   0,  0, 61, 39,19,1,22,   0,0.144,  0.60,  1.85,  2.08,0.033,1, 11.02,1,1,0.144,0,  3
19,1,22,   0, 27, 67,  0,20,1,27,   6,0.854,  0.52,  1.88,  2.02,0.595,0, 11.54,0,0,0.146,0,  3
20,1,27,   6,  0, 61, 45,21,1,22,   0,0.836,  0.50,  1.78,  1.93,0.453,0, 12.04,1,0,0.164,0,  3
21,1,22,   0, 27, 67,  0,22,1,27,   6,0.847,  0.52,  1.80,  1.96,0.204,0, 12.56,0,0,0.153,0,  3
22,1,27,   6,  0, 59, 47,23,1,22,   0,0.828,  0.50,  1.69,  1.85,0.877,0, 13.06,1,0,0.172,0,  3
23,1,22,   0, 27, 66,  0,24,1,27,   7,0.839,  0.52,  1.69,  1.87,0.317,0, 13.58,0,0,0.161,0,  3
24,1,27,   7,  0, 58, 49,25,1,22,   0,0.820,  0.49,  1.56,  1.74,0.703,0, 14.07,1,0,0.180,0,  3
25,1,22,   0, 27, 72,  0,26,1,27,   1,0.831,  0.54,  1.50,  1.73,0.686,0, 14.61,0,0,0.169,0,  3
26,1,27,   1, 15, 72,  0,27,1,27,  14,0.827,  0.54,  1.42,  1.67,0.632,0, 15.15,0,0,0.173,0,  3
27,1,27,  14,  0, 61, 53,28,1,22,   0,0.805,  0.50,  1.19,  1.46,0.763,0, 15.65,1,0,0.195,0,  3
28,1,22,   0,  0,100,  0,29,2,18,-300,0.217,  0.60,  0.00,  0.60,0.143,1, 16.25,0,0,0.217,0,  3
29,2,18,-300,  0,  0,  0,30,2,14,-200,0.738,  0.00,  0.00,  0.00,0.954,0, 16.25,0,0,0.262,0,  3
30,2,14,-200,  0,  0,  0,31,3,11,-400,0.288,  0.00,  0.00,  0.00,0.068,1, 16.25,0,0,0.288,0,  3
 1,0,20,   0,  2, 68, 30, 2,0,17,   0,0.894,  0.63,  2.68,  2.78,0.868,0,  0.63,1,0,0.106,0,  4
 2,0,17,   0,  1, 67, 32, 3,0,14,   0,0.885,  0.63,  2.63,  2.73,0.873,0,  1.26,1,0,0.115,0,  4
 3,0,14,   0,  0, 65, 35, 4,0,11,   0,0.873,  0.62,  2.59,  2.69,0.849,0,  1.88,1,0,0.127,0,  4
 4,0,11,   0,  0, 61, 39, 5,0, 9,   0,0.864,  0.60,  2.55,  2.64,0.856,0,  2.48,1,0,0.136,0,  4
 5,0, 9,   0, 38, 62,  0, 6,0,20,   0,0.891,  0.61,  2.64,  2.72,0.727,0,  3.09,0,0,0.109,0,  4
 6,0,20,   0,  2, 65, 33, 7,0,17,   0,0.882,  0.62,  2.58,  2.69,0.548,0,  3.71,1,0,0.118,0,  4
 7,0,17,   0,  1, 63, 36, 8,0,14,   0,0.870,  0.61,  2.53,  2.64,0.355,0,  4.32,1,0,0.130,0,  4
 8,0,14,   0, 32, 68,  0, 9,0,22,   0,0.888,  0.63,  2.59,  2.70,0.705,0,  4.95,0,0,0.112,0,  4
 9,0,22,   0,  0, 66, 34,10,0,18,   0,0.875,  0.62,  2.53,  2.64,0.865,0,  5.57,1,0,0.125,0,  4
10,0,18,   0,  1, 61, 38,11,1,15,   0,0.136,  0.60,  1.97,  2.18,0.027,1,  6.17,1,1,0.136,0,  4
11,1,15,   0, 36, 64,  0,12,1,24,   0,0.872,  0.51,  2.02,  2.13,0.128,0,  6.68,0,0,0.128,0,  4
12,1,24,   0,  1, 60, 39,13,1,20,   0,0.859,  0.50,  1.97,  2.08,0.854,0,  7.18,1,0,0.141,0,  4
13,1,20,   0, 32, 66,  0,14,2,27,-298,0.127,  0.52,  0.46,  0.89,0.033,1,  7.70,0,0,0.127,0,  4
