Age,Shocks,Fitness,Cash,FitnessSpending,JoySpending,InsuranceSpending,NextAge,NextShocks,NextFitness,NextCash,Probability,Enjoyment,FutureValue,Value,RandDraw,Shocked,TotalJoy,BuyIns,InsurancePaid,ShockProb,AtMaxShocks,Life
 1,0,20,   0,  2, 58, 10, 2,0,17,   0,0.894,  0.59,  4.44,  4.59,0.720,0,  0.59,1,0,0.106,0,  0
 2,0,17,   0,  1, 59, 10, 3,0,14,   0,0.885,  0.60,  4.39,  4.54,0.633,0,  1.19,1,0,0.115,0,  0
 3,0,14,   0,  2, 58, 10, 4,0,12,   0,0.876,  0.59,  4.34,  4.50,0.229,0,  1.78,1,0,0.124,0,  0
 4,0,12,   0,  4, 56, 10, 5,0,11,   0,0.870,  0.58,  4.30,  4.45,0.253,0,  2.36,1,0,0.130,0,  0
 5,0,11,   0,  0, 60, 10, 6,0, 9,   0,0.861,  0.60,  4.25,  4.42,0.606,0,  2.96,1,0,0.139,0,  0
 6,0, 9,   0,  5, 55, 10, 7,0, 9,   0,0.857,  0.58,  4.21,  4.37,0.587,0,  3.54,1,0,0.143,0,  0
 7,0, 9,   0,  5, 55, 10, 8,0, 9,   0,0.854,  0.58,  4.18,  4.34,0.911,0,  4.12,1,0,0.146,0,  0
 8,0, 9,   0,  5, 55, 10, 9,1, 9,   0,0.150,  0.58,  3.19,  3.45,0.077,1,  4.70,1,1,0.150,0,  0
 9,1, 9,   0, 11, 49, 10,10,1,11,   0,0.839,  0.46,  3.18,  3.32,0.335,0,  5.16,1,0,0.161,0,  0
10,1,11,   0,  6, 54, 10,11,2,11,   0,0.165,  0.48,  2.26,  2.52,0.149,1,  5.64,1,1,0.165,0,  0
11,2,11,   0, 15, 45, 10,12,2,14,   0,0.824,  0.35,  2.26,  2.39,0.841,0,  5.99,1,0,0.176,0,  0
12,2,14,   0, 14, 46, 10,13,3,16,   0,0.172,  0.36,  1.46,  1.67,0.023,1,  6.35,1,1,0.172,0,  0
13,3,16,   0, 15, 45, 10,14,3,18,   0,0.807,  0.26,  1.45,  1.57,0.960,0,  6.61,1,0,0.193,0,  0
14,3,18,   0, 16, 44, 10,15,3,20,   0,0.812,  0.26,  1.45,  1.57,0.495,0,  6.87,1,0,0.188,0,  0
15,3,20,   0, 11, 49, 10,16,3,20,   0,0.808,  0.28,  1.43,  1.57,0.769,0,  7.15,1,0,0.192,0,  0
16,3,20,   0, 11, 49, 10,17,3,20,   0,0.805,  0.28,  1.42,  1.55,0.839,0,  7.43,1,0,0.195,0,  0
17,3,20,   0, 11, 49, 10,18,3,20,   0,0.801,  0.28,  1.40,  1.53,0.721,0,  7.71,1,0,0.199,0,  0
18,3,20,   0, 11, 49, 10,19,3,20,   0,0.797,  0.28,  1.37,  1.51,0.225,0,  7.99,1,0,0.203,0,  0
19,3,20,   0, 11, 49, 10,20,3,20,   0,0.793,  0.28,  1.35,  1.49,0.541,0,  8.27,1,0,0.207,0,  0
20,3,20,   0, 11, 49, 10,21,3,20,   0,0.789,  0.28,  1.31,  1.46,0.457,0,  8.55,1,0,0.211,0,  0
21,3,20,   0, 11, 49, 10,22,3,20,   0,0.785,  0.28,  1.28,  1.43,0.549,0,  8.83,1,0,0.215,0,  0
22,3,20,   0, 11, 49, 10,23,3,20,   0,0.781,  0.28,  1.23,  1.39,0.256,0,  9.11,1,0,0.219,0,  0
23,3,20,   0,  5, 55, 10,24,3,18,   0,0.767,  0.29,  1.17,  1.34,0.372,0,  9.40,1,0,0.233,0,  0
24,3,18,   0,  4, 56, 10,25,3,16,   0,0.752,  0.29,  1.09,  1.28,0.428,0,  9.69,1,0,0.248,0,  0
25,3,16,   0,  3, 57, 10,26,3,14,   0,0.735,  0.29,  1.00,  1.19,0.275,0,  9.98,1,0,0.265,0,  0
26,3,14,   0,  2, 58, 10,27,3,12,   0,0.716,  0.30,  0.88,  1.09,0.831,0, 10.28,1,0,0.284,0,  0
27,3,12,   0,  1, 59, 10,28,3,10,   0,0.696,  0.30,  0.74,  0.96,0.984,0, 10.58,1,0,0.304,0,  0
28,3,10,   0,  0, 60, 10,29,3, 8,   0,0.673,  0.30,  0.55,  0.80,0.382,0, 10.88,1,0,0.327,0,  0
29,3, 8,   0,  0, 60, 10,30,3, 6,   0,0.647,  0.30,  0.32,  0.59,0.718,0, 11.18,1,0,0.353,0,  0
